Job Title,Range,Average
Software Engineer,$86k - $151k,"$115,500 "
Mechanical Engineer,$71k - $125k,"$93,142 "
Process Engineer,$69k - $110k,"$87,390 "
Technical Program Manager (TPM),$83k - $141k,"$112,302 "
Manufacturing Engineer,$72k - $127k,"$95,854 "
Senior Software Engineer,$96k - $183k,"$135,845 "
Mechanical Design Engineer,$75k - $132k,"$97,787 "
Controls Engineer,$85k - $146k,"$112,492 "
"Project Manager, (Unspecified Type / General)",$54k - $137k,"$85,846 "
Global Sourcing Manager,$78k - $138k,"$108,314 "
Electrical Engineer,$71k - $158k,"$100,497 "
Production Supervisor,$60k - $102k,"$78,951 "
Human Resources (HR) Business Partner,$69k - $138k,"$98,032 "
Senior Mechanical Engineer,$93k - $169k,"$126,741 "
Staff Engineer,$82k - $219k,"$134,538 "
Industrial Engineer,$67k - $135k,"$94,872 "
Senior Mechanical Design Engineer,$89k - $155k,"$116,577 "
Staff Software Engineer,$106k - $196k,"$147,275 "
Material Planner,$63k - $105k,"$81,767 "
Data Analyst,$48k - $99k,"$69,355 "
Supplier Quality Engineer (SQE),$62k - $114k,"$85,017 "
Operations Manager,$54k - $144k,"$88,803 "
Test Engineer,$63k - $129k,"$87,834 "
Recruiter,$56k - $112k (Estimated *),"$79,513 "
Equipment Engineer,$64k - $96k (Estimated *),"$81,775 "
Supply Chain Manager,$91k - $160k (Estimated *),"$124,441 "
Automation Engineer,$61k - $128k (Estimated *),"$88,032 "
Maintenance Supervisor,$58k - $139k (Estimated *),"$90,819 "
Quality Assurance (QA) Engineer,$67k - $134k (Estimated *),"$95,523 "
Sr. Software Engineer / Developer / Programmer,$82k - $161k (Estimated *),"$117,427 "
Logistics Analyst,$58k - $119k (Estimated *),"$81,278 "
Senior Systems Engineer,$91k - $147k (Estimated *),"$117,701 "
Permit Coordinator,$34k - $71k (Estimated *),"$48,678 "
Senior Product Manager,$81k - $156k (Estimated *),"$119,563 "
Senior Engineering Manager,$117k - $242k (Estimated *),"$176,392 "
"Program Manager, Engineering",$97k - $185k (Estimated *),"$135,094 "
Program Manager (Unspecified Type / General),$81k - $130k (Estimated *),"$103,390 "
Senior Process Engineer,$80k - $135k (Estimated *),"$105,129 "
Data Scientist,$82k - $163k (Estimated *),"$117,052 "
Data Engineer,$78k - $163k (Estimated *),"$113,030 "
Test / Quality Assurance (QA) Engineer (Computer Software),$65k - $119k (Estimated *),"$90,912 "
Operations Supervisor,$44k - $96k (Estimated *),"$66,244 "
Supply Chain Analyst,$61k - $103k (Estimated *),"$81,424 "
"Project Manager, Construction",$54k - $167k (Estimated *),"$92,420 "
Senior Electrical Engineer,$89k - $139k (Estimated *),"$111,763 "
Reliability Engineer,$85k - $180k (Estimated *),"$123,115 "
Technical Project Manager,$66k - $150k (Estimated *),"$103,967 "
Senior Financial Analyst,$87k - $133k (Estimated *),"$108,804 "
Fraud Investigator,$40k - $85k (Estimated *),"$58,322 "
General / Operations Manager,$56k - $149k (Estimated *),"$91,895 "
Automotive Engineer,$61k - $109k (Estimated *),"$84,725 "
Senior Manufacturing Engineer,$71k - $101k (Estimated *),"$85,288 "
Senior Business Analyst,$81k - $134k (Estimated *),"$104,624 "
Senior Environmental Engineer,$73k - $120k (Estimated *),"$96,463 "
Logistics Supervisor,$49k - $87k (Estimated *),"$65,951 "
Maintenance Technician,$43k - $98k (Estimated *),"$64,714 "
Warehouse Manager,$51k - $106k (Estimated *),"$73,580 "
Senior Data Scientist,$84k - $138k (Estimated *),"$109,901 "
Assistant Service Manager,$36k - $99k (Estimated *),"$62,976 "
"Senior Project Manager, Engineering",$86k - $171k (Estimated *),"$121,316 "
Finance Associate,$87k - $145k (Estimated *),"$114,386 "
Materials Engineer,$74k - $124k (Estimated *),"$96,832 "
Senior Test Engineer,$76k - $136k (Estimated *),"$101,797 "
Automotive Service Technician / Mechanic,$33k - $100k (Estimated *),"$57,387 "
Business Analyst (Unspecified Type),$59k - $100k (Estimated *),"$77,485 "
Business Operations Analyst,$52k - $96k (Estimated *),"$70,894 "
Chemical Engineer,$60k - $152k (Estimated *),"$91,075 "
Technical Sourcer,$61k - $108k (Estimated *),"$83,928 "
"Construction Superintendent, Commercial",$72k - $142k (Estimated *),"$102,115 "
"Product Manager, Software",$95k - $176k (Estimated *),"$130,981 "
Structural Engineer,$79k - $123k (Estimated *),"$100,642 "
Strategic Planning Manager,$94k - $171k (Estimated *),"$126,961 "
Product Engineer,$72k - $135k (Estimated *),"$97,717 "
Electrical Design Engineer,$75k - $125k (Estimated *),"$98,320 "
"Sr. Program Manager, Software Applications",$107k - $188k (Estimated *),"$147,594 "
Regional Service Manager,$65k - $139k (Estimated *),"$96,179 "
Environmental Health & Safety (EHS) Specialist,$57k - $97k (Estimated *),"$74,943 "
Quality Assurance Manager,$89k - $185k (Estimated *),"$130,175 "
Senior Construction Manager,$82k - $129k (Estimated *),"$104,282 "
Security Engineer,$90k - $181k (Estimated *),"$129,087 "
"Project Manager, Engineering",$95k - $160k (Estimated *),"$124,834 "
Sales Training Manager,$74k - $124k (Estimated *),"$97,100 "
"Project Manager, Environmental",$37k - $73k (Estimated *),"$52,312 "
"Project Manager, Operations",$54k - $103k (Estimated *),"$75,554 "
Safety Specialist,$63k - $109k (Estimated *),"$84,297 "
Project Specialist,$46k - $93k (Estimated *),"$65,295 "
Quality Assurance (QA) / Quality Control (QC) Engineer,$73k - $120k (Estimated *),"$94,829 "
Quality Assurance Supervisor,$47k - $80k (Estimated *),"$61,266 "
Senior Compliance Analyst,$81k - $149k (Estimated *),"$111,028 "
Web Developer,$58k - $113k (Estimated *),"$82,660 "
Security Manager,$47k - $103k (Estimated *),"$68,558 "
Security Supervisor,$68k - $190k (Estimated *),"$102,553 "
Senior Application Developer,$107k - $155k (Estimated *),"$130,364 "
Senior Accountant,$63k - $86k (Estimated *),"$74,049 "
Senior Account Manager,$64k - $127k (Estimated *),"$92,004 "
Purchasing Specialist,$65k - $112k (Estimated *),"$85,246 "
Safety Manager,$87k - $165k (Estimated *),"$122,666 "
Senior Project Engineer,$93k - $140k (Estimated *),"$114,979 "
Senior Data Analyst,$81k - $127k (Estimated *),"$102,506 "
Staff Analyst,$103k - $142k (Estimated *),"$122,963 "
